Heart_Rate,Steps,Respiration_Rate,Blood_Pulse_Wave,Heart_Rate_Variability
29.67992389,3776,15.3169605,70.49247368,34.17211197
25.96044557,6515,12.14163556,95.38885091,53.47421804
58.80282743,5463,18.89419072,87.65916729,27.0790676
41.69638447,7439,13.39422943,86.64733331,56.19723217
29.74080166,6448,16.97505571,74.61278253,52.28198599
66.69462579,4555,12.1997672,62.37611896,68.56209164
25.22621358,6367,15.1960518,93.20292393,53.92172026
56.47855484,3577,19.88768242,66.83615181,33.08105401
51.26315138,5983,12.80554881,74.89034568,9.248624662
19.92836276,4750,15.38954522,84.01418742,52.76842806
27.18352216,7620,14.4571996,79.29014954,50.14436945
27.49653448,3045,19.24070499,67.94642541,12.17662261
